"";"Matriculado";"Sexo";"Tipo";"Region";"Egreso";"Nem";"Ranking";"Matematicas";"Lenguaje"
"9069";1;1;0;"Metropolitana";2022;823;854;785;726
"9070";1;1;1;"Metropolitana";2023;837;879;535;489
"9071";1;0;0;"OHiggins";2023;473;473;616;600
"9072";0;1;1;"Nuble";2023;794;892;489;491
"9073";0;1;0;"Metropolitana";2023;699;706;593;815
"9074";0;0;1;"Metropolitana";2023;681;719;424;418
"9075";1;0;0;"Metropolitana";2019;473;473;731;854
"9076";1;1;0;"Maule";2023;893;916;498;656
"9077";1;0;0;"Metropolitana";2023;742;745;575;679
"9078";0;1;0;"Tarapaca";2023;657;657;523;540
"9079";1;1;0;"Metropolitana";2022;793;822;773;799
"9080";1;0;0;"Maule";2023;751;751;535;473
"9081";1;0;0;"Aysen";2022;808;873;0;0
"9082";0;0;0;"OHiggins";2023;785;818;628;689
"9083";0;1;1;"Biobio";2023;616;625;465;506
"9084";1;0;0;"OHiggins";2020;808;816;862;738
"9085";0;0;0;"Los Lagos";2023;510;510;0;0
"9086";1;0;0;"Nuble";2021;456;460;585;584
"9087";0;1;0;"Valparaiso";2023;599;599;600;563
"9088";0;0;0;"Biobio";2022;572;572;505;496
"9089";0;0;1;"Araucania";2023;491;491;563;506
"9090";0;0;0;"Nuble";2023;567;567;616;481
"9091";1;1;0;"Antofagasta";2022;779;900;607;611
"9092";0;1;0;"Biobio";2021;536;536;575;641
"9093";0;0;1;"Araucania";2023;630;632;563;519
"9094";0;1;0;"Metropolitana";2021;313;313;0;0
"9095";1;0;0;"Maule";2021;713;735;861;711
"9096";0;1;1;"OHiggins";2020;491;491;424;607
"9097";0;0;1;"Los Rios";2023;523;523;450;367
"9098";1;1;0;"Metropolitana";2023;828;838;505;651
"9099";1;0;0;"Valparaiso";2022;742;742;811;696
"9100";1;1;0;"Valparaiso";2023;870;920;498;721
"9101";1;1;0;"Metropolitana";2023;970;976;939;711
"9102";0;0;0;"Metropolitana";2023;608;608;498;491
"9103";0;0;1;"Maule";2023;715;726;498;611
"9104";0;1;0;"Magallanes";2022;636;636;549;540
"9105";1;0;1;"Tarapaca";2023;757;776;585;636
"9106";0;1;0;"Araucania";2023;519;519;535;591
"9107";1;1;0;"Metropolitana";2023;823;824;688;686
"9108";0;1;1;"Metropolitana";2023;474;474;450;397
"9109";0;1;1;"Araucania";2023;743;777;403;364
"9110";0;1;0;"Maule";2023;727;727;478;491
"9111";0;0;0;"Metropolitana";2023;409;409;0;0
"9112";0;0;1;"Metropolitana";2023;450;450;478;463
"9113";0;1;1;"Metropolitana";2023;837;886;450;589
"9114";0;0;0;"Valparaiso";2023;779;799;0;0
"9115";0;0;0;"Metropolitana";2019;594;594;489;573
"9116";0;0;0;"Antofagasta";2020;451;451;0;0
"9117";0;0;0;"Biobio";2023;873;988;0;0
"9118";0;0;1;"Biobio";2023;652;658;523;584
"9119";1;0;0;"Valparaiso";2023;823;830;513;620
"9120";0;1;0;"Coquimbo";2023;799;844;797;651
"9121";1;1;0;"Los Lagos";2023;886;1000;607;636
"9122";1;0;0;"Valparaiso";2022;793;809;563;669
"9123";0;0;0;"Araucania";2023;456;456;563;481
"9124";0;0;0;"Valparaiso";2023;799;801;844;589
"9125";0;0;1;"Los Lagos";2022;574;574;513;394
"9126";1;0;0;"Metropolitana";2023;400;400;535;721
"9127";0;0;0;"Metropolitana";2023;793;804;593;600
"9128";0;1;0;"Biobio";2023;972;1000;0;582
"9129";0;1;0;"Valparaiso";2023;628;628;489;554
"9130";0;1;0;"Los Lagos";2023;699;701;0;0
"9131";0;0;0;"Metropolitana";2023;808;825;535;524
"9132";0;0;0;"Los Lagos";2023;542;542;797;549
"9133";1;1;0;"Metropolitana";2020;870;879;616;754
"9134";0;1;0;"OHiggins";2023;567;569;489;405
"9135";1;1;0;"Coquimbo";2021;657;663;616;669
"9136";0;1;0;"Metropolitana";2023;722;722;616;686
"9137";1;1;0;"Los Lagos";2021;580;580;549;696
"9138";0;1;0;"Metropolitana";2023;628;628;465;524
"9139";0;1;1;"Metropolitana";2023;396;396;575;510
"9140";0;1;0;"Metropolitana";2014;799;818;731;754
"9141";0;1;0;"Metropolitana";2023;646;662;424;423
"9142";0;0;1;"Maule";2022;497;501;465;409
"9143";0;0;0;"Valparaiso";2021;463;466;563;500
"9144";1;1;0;"Metropolitana";2023;951;1000;705;896
"9145";1;0;0;"Los Lagos";2021;622;622;0;0
"9146";0;1;1;"Valparaiso";2023;771;784;436;449
"9147";0;1;0;"Maule";2023;757;764;607;589
"9148";1;1;0;"Araucania";2021;671;708;746;567
"9149";0;0;1;"Metropolitana";2023;686;730;489;449
"9150";1;1;0;"Maule";2023;970;977;963;922
"9151";1;1;0;"Los Lagos";2023;879;926;696;665
"9152";0;0;0;"Los Lagos";2023;526;526;424;496
"9153";0;0;0;"Valparaiso";2023;879;897;917;837
"9154";0;0;0;"Tarapaca";2021;751;799;705;721
"9155";1;0;0;"Metropolitana";2022;900;934;746;837
"9156";0;0;1;"Nuble";2023;402;402;0;0
"9157";1;1;0;"Metropolitana";2023;694;694;505;549
"9158";0;0;1;"Maule";2021;497;497;0;0
"9159";1;1;1;"Valparaiso";2023;686;745;523;554
"9160";0;0;1;"Maule";2023;808;832;0;707
"9161";0;0;1;"Biobio";2023;672;685;498;0
"9162";1;0;0;"Valparaiso";2023;886;908;917;833
"9163";0;0;0;"Maule";2022;510;510;575;519
"9164";0;1;1;"Magallanes";2021;667;667;593;699
"9165";1;1;0;"Metropolitana";2023;713;713;669;567
"9166";0;1;0;"Coquimbo";2021;879;893;761;878
"9167";1;1;0;"Biobio";2022;808;873;523;496
"9168";1;1;0;"Araucania";2022;808;833;593;481
"9169";0;0;1;"Arica";2022;396;396;523;500
"9170";0;1;0;"OHiggins";2023;842;852;593;665
"9171";0;1;0;"Nuble";2020;590;590;0;0
"9172";1;0;0;"Antofagasta";2021;694;713;669;696
"9173";0;0;0;"Magallanes";2023;488;488;0;0
"9174";0;1;1;"Metropolitana";2023;529;529;0;0
"9175";0;1;0;"Maule";2023;893;916;705;679
"9176";0;0;1;"Metropolitana";2023;695;881;607;669
"9177";1;0;0;"OHiggins";2022;519;519;498;696
"9178";1;0;0;"Nuble";2022;793;799;917;774
"9179";1;0;0;"Metropolitana";2023;879;899;785;554
"9180";1;0;0;"Antofagasta";2023;928;965;990;833
"9181";0;0;0;"OHiggins";2023;685;711;549;405
"9182";0;1;0;"Metropolitana";2022;680;680;498;584
"9183";0;0;0;"Biobio";2023;636;655;600;554
"9184";0;1;0;"Los Lagos";2023;694;717;489;554
"9185";0;1;1;"Coquimbo";2023;587;587;505;438
"9186";1;1;0;"Metropolitana";2023;893;927;642;620
"9187";0;1;0;"Biobio";2021;771;780;478;641
"9188";0;0;1;"Araucania";2023;623;631;505;364
"9189";0;1;0;"Metropolitana";2023;742;742;628;770
"9190";0;1;0;"Metropolitana";2023;856;861;0;338
"9191";0;1;0;"Metropolitana";2023;567;567;785;726
"9192";1;1;0;"Metropolitana";2022;994;1000;963;742
"9193";0;0;0;"Antofagasta";2023;556;557;465;473
"9194";1;0;0;"Biobio";2022;757;781;0;802
"9195";0;1;0;"Los Lagos";2023;970;1000;761;686
"9196";1;0;0;"Metropolitana";2021;914;910;939;774
"9197";0;0;0;"Arica";2023;859;929;378;364
"9198";0;1;0;"Metropolitana";2023;937;954;513;573
"9199";1;1;0;"Valparaiso";2023;851;851;797;676
"9200";1;0;0;"Metropolitana";2023;900;926;761;699
"9201";0;0;1;"Metropolitana";2023;379;379;0;0
"9202";0;1;0;"Metropolitana";2021;671;675;585;506
"9203";1;1;1;"Metropolitana";2023;529;529;505;540
"9204";1;0;1;"Antofagasta";2023;815;843;513;449
"9205";0;1;1;"Araucania";2023;886;948;523;573
"9206";0;1;0;"Metropolitana";2023;699;699;688;857
"9207";1;1;0;"Biobio";2022;694;694;505;611
"9208";1;1;0;"Metropolitana";2022;985;1000;785;696
"9209";1;1;0;"Coquimbo";2020;694;717;505;679
"9210";1;0;1;"Biobio";2023;914;929;844;774
"9211";0;0;0;"Biobio";2022;657;665;513;540
"9212";0;1;0;"Atacama";2003;823;829;785;799
"9213";1;0;0;"Metropolitana";2023;586;586;513;519
"9214";0;1;0;"Atacama";2023;951;1000;861;788
"9215";0;1;0;"Metropolitana";2022;542;542;513;405
"9216";1;1;0;"Valparaiso";2023;409;409;513;669
"9217";1;0;0;"Metropolitana";2023;742;768;990;759
"9218";0;1;1;"Metropolitana";2021;411;411;450;466
"9219";1;1;1;"Maule";2023;667;667;498;463
"9220";0;1;0;"Metropolitana";2023;914;923;785;669
"9221";0;0;1;"Metropolitana";2023;766;821;0;0
"9222";0;0;0;"Metropolitana";2023;722;722;616;611
"9223";0;1;1;"Metropolitana";2023;637;656;505;454
"9224";0;1;1;"Los Lagos";2023;895;971;575;656
"9225";1;0;0;"Metropolitana";2020;622;622;862;707
"9226";1;1;0;"Metropolitana";2022;793;819;0;0
"9227";0;1;0;"Metropolitana";2023;483;488;0;473
"9228";1;0;0;"Magallanes";2023;779;804;657;510
"9229";0;1;0;"Metropolitana";2023;757;769;628;721
"9230";1;1;0;"Araucania";2020;636;645;576;611
"9231";1;1;0;"Los Lagos";2023;856;909;705;686
"9232";0;0;0;"Biobio";2023;757;811;489;519
"9233";1;0;0;"Metropolitana";2022;751;758;717;0
"9234";1;0;0;"Maule";2023;799;827;628;576
"9235";0;0;0;"Metropolitana";2023;400;400;535;367
"9236";0;0;1;"Metropolitana";2020;347;364;0;0
"9237";1;1;0;"Metropolitana";2022;837;871;731;676
"9238";1;0;0;"Metropolitana";2023;779;827;680;641
"9239";0;0;0;"Metropolitana";2022;608;608;607;573
"9240";0;1;0;"Biobio";2023;907;929;688;567
"9241";1;0;1;"Metropolitana";2023;695;777;549;496
"9242";1;0;0;"Biobio";2023;856;871;773;696
"9243";1;1;0;"Metropolitana";2022;650;653;696;597
"9244";0;1;0;"Tarapaca";2023;865;866;436;463
"9245";0;1;0;"OHiggins";2023;757;769;549;534
"9246";0;0;0;"Valparaiso";2023;727;727;549;489
"9247";0;1;1;"Antofagasta";2022;752;771;535;454
"9248";0;0;0;"Antofagasta";2023;500;535;0;0
